user_ID,unix_start_t,orig_lat,orig_long
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1553982094,47.1159522,-122.2650743
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1553984305,47.097726,-122.2924183
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1553986143,47.0213003,-122.2982385
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1553986579,46.9719447,-122.2977938
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1553986941,46.8685675,-122.2715128
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554003196,46.9071878,-122.2984671
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554003789,47.0222448,-122.2967518
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554147565,47.1172909,-122.2931139
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554149508,47.2225364,-122.2466355
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554149763,47.2878508,-122.2570387
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554150019,47.352749,-122.2403602
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554150345,47.4140638,-122.2207713
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554151177,47.4143764,-122.2187845
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554193765,47.3792499,-122.2394016
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554194005,47.2512795,-122.2539563
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554194494,47.1831243,-122.2561642
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554235321,47.1433377,-122.2599365
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554236796,47.4140638,-122.2207713
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554697633,47.1174734,-122.2690782
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554797522,47.3475032,-122.2536908
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554797764,47.2833218,-122.2565039
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554798007,47.2204613,-122.2447287
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554798495,47.186543,-122.2564498
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554883886,47.4068553,-122.2281661
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554884139,47.3484197,-122.2432415
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554884391,47.3142613,-122.2455617
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554884640,47.2002532,-122.283964
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1554885265,47.3142613,-122.2455617
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1555014275,47.199907,-122.250997
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1555015616,47.3558005,-122.2424343
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1555057003,47.3557016,-122.2440606
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1555057364,47.2524753,-122.2562109
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1555057606,47.2160402,-122.249991
2625647e11173f95ef14599c4835355cfe2f492adb3a2e1a7a47748760345612,1555057850,47.1605212,-122.3003255
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573184859,47.4685783,-122.226445
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573258921,47.4686032,-122.2078277
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573259389,47.447802,-122.2664367
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573259690,47.4178161,-122.2880065
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573260121,47.3259255,-122.295204
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573260563,47.3111494,-122.2820668
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573261169,47.2532781,-122.2666225
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573261447,47.2472867,-122.2543384
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573262002,47.2180885,-122.2467181
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573262324,47.2027418,-122.2501659
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573262636,47.1849934,-122.2493928
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573263246,47.1460294,-122.2569173
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573267470,47.4631644,-122.2236197
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573410939,47.5044516,-122.1446206
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573411600,47.5000604,-122.1455649
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573414865,47.5044516,-122.1446206
3ab7c1282d7c0ed632f93d6ca1c81ef0bf74351f50b8cb9eafe4167004ca373a,1573528927,47.5001327,-122.2005861
